title,url_link,thumbnail,Play_Time,Channel,Views,Upload,Desc
MY TOP LIP SYNC TIKTOK OF 2021: ✨ZADDY✨,https://www.youtube.com/shorts/IcUhrZ8jvME,https://i.ytimg.com/vi/IcUhrZ8jvME/hq2.jpg,SHORTS,Jeenie.Weenie,2.4M views,1 day ago,
When You Can't Fall Asleep On Christmas Eve #Shorts,https://www.youtube.com/shorts/s5gy7YIeJ78,https://i.ytimg.com/vi/s5gy7YIeJ78/hq2.jpg,SHORTS,Luke Davidson,10M views,3 days ago,When You Can't Fall Asleep On Christmas Eve #Shorts
157 Minecraft Facts You Possibly Didn't Know,https://www.youtube.com/watch?v=8rB2TQSPLuA,https://i.ytimg.com/vi/8rB2TQSPLuA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqARGNBm2ghoiQGDoJ65Q1ptWFKQ,45:49,Skip the Tutorial,2.1M views,2 days ago,"157 Minecraft Facts You Possibly Didn't Know! Minecraft has dozens of mobs, blocks, and items to choose from, so it can be easy to lose track of all the information. In that case, let's cover..."
"Zelda, but if I say ""bear"" then 20 bears spawn",https://www.youtube.com/watch?v=JTXYvZy7Lf8,https://i.ytimg.com/vi/JTXYvZy7Lf8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-bXaye1g8hfg3-tWfZO4ePX5GHA,12:00,PointCrow,705K views,1 day ago,"I've had Breath of the Wild modded so that whenever I say a particular voice command, that thing will spawn inside the game. Whether its a guardian, ganon, or 20 bears, can i beat Zelda with..."
The last one broke the hoop ! (Rating Strangers shots 🏀) #shorts,https://www.youtube.com/shorts/ZVpiaYQnxHE,https://i.ytimg.com/vi/ZVpiaYQnxHE/hq2.jpg,SHORTS,Tuvok12,6.6M views,1 day ago,
You missed this in GLADIATOR,https://www.youtube.com/shorts/Ge0gLqCAX1Y,https://i.ytimg.com/vi/Ge0gLqCAX1Y/hq2.jpg,SHORTS,Movie Logic,1.5M views,2 days ago,"You missed THIS in Gladiator. When Maximus makes his first appearance in the Colosseum, he asks the men fighting with him if any of them “ever served in the army” to which one replies that..."
so Snoop Dogg sent me this..,https://www.youtube.com/shorts/AoDtj4uZbR4,https://i.ytimg.com/vi/AoDtj4uZbR4/hq2.jpg,SHORTS,Davie504,7.6M views,3 days ago,#shorts
Nardwuar vs. J. Cole (2021),https://www.youtube.com/watch?v=GxVXEd_G_60,https://i.ytimg.com/vi/GxVXEd_G_60/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5jYEWslLlhZ_1si8ke9aWwJxbNA,58:22,NardwuarServiette,2M views,2 days ago,"Nardwuar interviews J. Cole on December 9, 2021 in Santa Monica, CA USA ! Doot doo ! https://www.twitch.tv/nardwuarserviette Nardwuar Twitter: http://www.twitter.com/nardwuar Nardwuar..."
Are we back ?,https://www.youtube.com/watch?v=3JRNJAEdNAc,https://i.ytimg.com/vi/3JRNJAEdNAc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8T2DS5AqBT2l27q8CqVR2hsD7Og,11:23,Brooklyn Frost,244K views,1 day ago,
Apple Has a Patent on its iPhone Packaging?!,https://www.youtube.com/shorts/KNpbntXjR_c,https://i.ytimg.com/vi/KNpbntXjR_c/hq2.jpg,SHORTS,Our Future,2.5M views,2 days ago,"Apple Has a Patent on its iPhone Packaging?! Video Host: Jackson Kessler (Follow Jackson on Instagram: @Jax778) For the best business videos on the Internet, Subscribe here ➡ https://www.youtube..."
1ft steph curry vs 1ft lebron in nba 2k22 😂,https://www.youtube.com/shorts/nB859M3kWnA,https://i.ytimg.com/vi/nB859M3kWnA/hq2.jpg,SHORTS,Abdullah Ali Shorts,329K views,1 day ago,#shorts 🔵 Twitter - @imdullah 📸 Instagram - @imdullahyt
TRYING VIRAL DRINKS FROM THE STARBUCKS SECRET MENU? (I GOT KICKED OUT AT THE END) #Shorts,https://www.youtube.com/shorts/3VAiDYAOd7U,https://i.ytimg.com/vi/3VAiDYAOd7U/hq2.jpg,SHORTS,dougmar,2.8M views,1 day ago,
"1,013 Wardens VS Minecraft SMP",https://www.youtube.com/watch?v=NUrBcv6vEW4,https://i.ytimg.com/vi/NUrBcv6vEW4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBCnfSXnwQKTLQ6AuEz7j2TzzewA,34:48,Spoke,663K views,1 day ago,"Creating an army of 1,013 Wardens on a Minecraft SMP that is not the Lifesteal SMP: a Minecraft Server where you can steal other players' hearts... Over the past few weeks, Here's How I Created..."
WHAT’S THE CAPITAL OF USA?! #shorts,https://www.youtube.com/shorts/SXQ90lqYEuI,https://i.ytimg.com/vi_webp/SXQ90lqYEuI/hq2.webp,SHORTS,Cloutom,1.8M views,1 day ago,
I GOT MY BOYFRIEND THE BEST CHRISTMAS PRESENT EVER!! **HELLCAT REDEYE**,https://www.youtube.com/watch?v=LQyK1pHQhqA,https://i.ytimg.com/vi/LQyK1pHQhqA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDndV1e8_-NgHnlr5vIKvCU6BQgbg,26:11,GnB Vids,535K views,2 days ago,"Hope you guys enjoyed the video! ❤️ Merry Christmas to everyone, we love you all so so much!! Comment down below if you guys are G or B Team! Also Subscribe if you're new! Give this video..."
When he always has a hat on…😳🤨🤔,https://www.youtube.com/shorts/-PSumbxP62M,https://i.ytimg.com/vi_webp/-PSumbxP62M/hq2.webp,SHORTS,Andrea Subotic,616K views,1 day ago,
THE BANANA GETS PEELED! We Cut The Roof Off Matt’s Off Road Recovery Jeep,https://www.youtube.com/watch?v=VYS-vNmnrcE,https://i.ytimg.com/vi/VYS-vNmnrcE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5n0OeLLUo6fiXBEtls1IfRP-IzQ,28:31,Robby Layton,375K views,2 days ago,#MattsOffRoadRecovery #BodyWork #RobbyLayton #Repair #Paint We continue working on Matt’s Recovery Jeep this week as a 2nd Jeep arrives for us to disassemble and salvage parts for the Banana!...
THE CRAZIEST FAMILY CHRISTMAS GIFTS OPENING EVER!!,https://www.youtube.com/watch?v=NCvnC5GhSdA,https://i.ytimg.com/vi/NCvnC5GhSdA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCf34tHeQB3m1PUMhuzfDaUvZKj8g,30:08,FaZe Rug,3.7M views,2 days ago,"MERRY CHRISTMAS FROM MY FAMILY TO YOU! I hope you all have an amazing & blessed Christmas, and if you don't celebrate Christmas, hope you're having a great day! 🔴 SUBSCRIBE FOR LIT VIDEOS..."
I think it's time...,https://www.youtube.com/watch?v=HhwPGR_hagQ,https://i.ytimg.com/vi/HhwPGR_hagQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBobX4pDWqR3yffoTM9hJS_SKc3dg,10:48,Caleb Hyles,191K views,1 day ago,Please stay til the end. Just this once.
Washington Football Team vs. Cowboys Week 16 Highlights | NFL 2021,https://www.youtube.com/watch?v=6GR1Ml3XRHE,https://i.ytimg.com/vi/6GR1Ml3XRHE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMte-HxNRscEyKocdQpt27QvMhgw,12:34,NFL,1.7M views,1 day ago,The Washington Football Team take on the Dallas Cowboys during Week 16 of the 2021 NFL season. Subscribe to NFL: http://j.mp/1L0bVBu Check out our other channels: Para más contenido de la...
What Happened to Odell Beckham Jr?,https://www.youtube.com/watch?v=DtZyHfCGAyE,https://i.ytimg.com/vi/DtZyHfCGAyE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAcht-e6HcvW6ZSwa_WGlpCYp_3Og,10:32,Nonstop Sports,188K views,1 day ago,"There was a time when Odell was the most popular and polarizing figure in the NFL. Now, he’s just fighting to make an impact on a contending team. For this video, we are taking a look back..."
Christmas Morning Special | Opening Presents | The LeRoys,https://www.youtube.com/watch?v=st_1XV5EGUA,https://i.ytimg.com/vi/st_1XV5EGUA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBrLbCjFJPnSBOWkkseZSpw7fjtA,21:00,The LeRoys,257K views,1 day ago,Welcome To The LeRoys Channel. We Love Sharing bits and pieces of our life and bringing a smile to your face. Our kiddos!!! Kesley 18 Logan 15 (angel in heaven) Rhett 14 Reese 12 Perri 10...
I Bought My Mama A House,https://www.youtube.com/watch?v=Cb-BLTlElig,https://i.ytimg.com/vi/Cb-BLTlElig/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmo7dDF6awfI9tt5JAvG7LFK1cnw,17:55,Duke,445K views,1 day ago,I Bought My Mama A House Follow me on Instagram: Duke_Dennis Follow me on Twitter: Imdukedennis
James Webb Space Telescope Launch — Official NASA Broadcast,https://www.youtube.com/watch?v=7nT7JGZMbtM,https://i.ytimg.com/vi/7nT7JGZMbtM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDcvIhdsfFqpgyGu5iZdDNLY1Z0Cw,2:17:30,NASA,6M views,Streamed 3 days ago,"Watch the launch of the James Webb Space Telescope—the most powerful space telescope ever made. This mission launched at 7:20 a.m. EST (12:20 UTC), Dec. 25, 2021, aboard an Ariane 5 rocket..."
"DDG'S $100,000 CHRISTMAS GOT RUINED!! MY FAMILY STARTED FIGHTING!! (NOT CLICKBAIT)",https://www.youtube.com/watch?v=FWMo8AKbx4M,https://i.ytimg.com/vi/FWMo8AKbx4M/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAse6jjETAC8OyjthaKtvRP15hwug,21:06,PontiacMadeDDG VLOGS,482K views,2 days ago,LOL follow me on instagram @PontiacMadeDDG
Father and daughter killed on Christmas Eve,https://www.youtube.com/watch?v=iC1JKY9OLqk,https://i.ytimg.com/vi/iC1JKY9OLqk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJmHjph5gMluYxttgE3uL_zyfD1A,0:28,WATE 6 On Your Side,219K views,1 day ago,"Stay informed about what's happening in East Tennessee. Find the latest news, weather and sports on our website and social media: https://www.wate.com/ http://www.facebook.com/wate6onyourside..."
"Things GET WEIRD with my Superbird problems, and looking inside my MILLION MILE Cummins engine",https://www.youtube.com/watch?v=oNvydzdHvOw,https://i.ytimg.com/vi/oNvydzdHvOw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHrv6ONGuMWTKFHQXwuLTXUqP-uA,20:43,Hoovies Garage,415K views,1 day ago,Watch Car Issues on MotorTrend plus for only $3 a month: http://motortrend.com/hooviesholiday BUY the Hoovie-Superbird shirt for that 70's muscle car vibe (ONLY 30 SHIRTS LEFT) https://hooviesgarag...
Becoming a good person speedrun (13.31 seconds),https://www.youtube.com/shorts/FpEnlaGbGFU,https://i.ytimg.com/vi_webp/FpEnlaGbGFU/hq2.webp,SHORTS,I am MoBo,5.7M views,2 days ago,It's Christmas and you need to be good to get presents. So this is what you do. Subscribe and like for more skits #shorts All My Links: https://linktr.ee/mobowl Socials: Tiktok: https://www.tikt...
When u ask for extra cheese 😂,https://www.youtube.com/shorts/ti-EppKRtJs,https://i.ytimg.com/vi/ti-EppKRtJs/hq2.jpg,SHORTS,Adam W,12M views,3 days ago,"Subscribe Here for new #shorts: https://www.youtube.com/channel/UC_k6... THANKS FOR WATCHING!! LIKE, COMMENT, AND SUBSCRIBE FOR MORE VIDS! --------------------------------------------------------..."
"Bully's Make Fun Of Boys Shirt, What Happens Next Will Shocks You #Shorts",https://www.youtube.com/shorts/4rFUYU5l_Lo,https://i.ytimg.com/vi/4rFUYU5l_Lo/hq2.jpg,SHORTS,Luke Davidson,1.9M views,1 day ago,"Bully's Make Fun Of Boys Shirt, What Happens Next Will Shocks You #Shorts Song: https://tunetank.com/t/448g/458-empire-in-fire Merch: https://crowdmade.com/collections/lukedavidson"
FNaF Security breach in a nutshell,https://www.youtube.com/watch?v=Qm8uOPiKezg,https://i.ytimg.com/vi/Qm8uOPiKezg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBIzBCLXv7QujcKgWqz_sX41vnAGA,0:13,Ketsukii,1.6M views,2 days ago,if this gets 1k views ill flip ye hope yall liked it dont re-upload pls ill cry #fnaf #fnafsecuritybreach #securitybreach #gregory #glamrockfreddy #viral #yes
DDG - Fairly Odd Parents “Freestyle” (Official Video),https://www.youtube.com/watch?v=yGp9frozacw,https://i.ytimg.com/vi/yGp9frozacw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBquJAy-sUyXaaW9hNbbhAiQ0VKmQ,2:11,Zooted Music,418K views,2 days ago,DDG - Fairly Odd Parents (Official Music Video) Follow me on Instagram: @PontiacMadeDDG Shot by @LewisYouNasty Produced By @TreOnTheBeat Yuh
Match Kid to Mom | Lineup | Cut,https://www.youtube.com/watch?v=sWP0PzHIeBA,https://i.ytimg.com/vi/sWP0PzHIeBA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyefttFvz-wuOAEgcCnjH2d36ajA,11:37,Cut,822K views,3 days ago,"Can you match these kids to their moms? 🛍️ Buy Cut games! https://buy.cut.com 🥃 Truth or Drink, Fear Pong, TBH – and more coming soon. 🙋 Sponsor this series: https://cut.com/sponso..."
POV: Your soulmate controls your hand... 👀,https://www.youtube.com/shorts/0zWtRppo5BQ,https://i.ytimg.com/vi/0zWtRppo5BQ/hq2.jpg,SHORTS,Ian Boggs,1.3M views,1 day ago,Follow me on IG for your daily dose of Ian! 🙌🏼 IG: https://www.instagram.com/ianboggz/ Hey Ian Nation! What do you think is going to happen next? 👀 Subscribe for more! #Shorts...
Biggest Wastes of Time EVER,https://www.youtube.com/watch?v=l1q1ax5ylVU,https://i.ytimg.com/vi/l1q1ax5ylVU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBleKdx_XLFm_B6Xy0JMP3Q1I53g,28:36,BE AMAZED,484K views,2 days ago,Tune in for the biggest wastes of time ever! Suggest a topic here to be turned into a video: http://bit.ly/2kwqhuh Subscribe for more! ► https://goo.gl/pgcoq1 ◄ Stay updated ► https://goo.gl/...
CHRISTMAS MORNING OPENING PRESENTS 2021 | SISTER FOREVER,https://www.youtube.com/watch?v=w6avHxnUIek,https://i.ytimg.com/vi/w6avHxnUIek/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVfDIOjmYjdYbSh5b5yunWZShP3A,32:05,Sister forever,351K views,2 days ago,#chrismtmaspresents CHRISTMAS MORNING OPENING PRESENTS 2021 Social Media Instagram: @yailensr @sisterforever2016 Tiktok :@yailenysr
The worst thing that happened on tour,https://www.youtube.com/watch?v=C5e5eJCndaE,https://i.ytimg.com/vi/C5e5eJCndaE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCI_MDMUb7T8a6fQ46ga3dfIjqdXA,6:53,Emirichu,751K views,2 days ago,Check out GamerSupps!: http://gamersupps.gg/discount/Emirichu?afmc=Emirichu UPDATE: all 5000 codes have been used!!! the code will now give you 10% off your purchase instead of free shipping!...
2HYPE SECRET SANTA #3!,https://www.youtube.com/watch?v=aW5rbc10gwU,https://i.ytimg.com/vi/aW5rbc10gwU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMfAuBYENCyUP98TwbAeXZQg4b7Q,42:57,2HYPE,734K views,2 days ago,★Follow us on Socials!★ ●Instagram https://www.instagram.com/2hypehouse/ ●Twitter https://twitter.com/official2HYPE ⭐ 2HYPE Merch ⭐ ● https://2hype.com ★2HYPE MEMBERS★ ●...
When u ask for the bathroom code 😂,https://www.youtube.com/shorts/OUCRVxzD3a8,https://i.ytimg.com/vi/OUCRVxzD3a8/hq2.jpg,SHORTS,Adam W,14M views,4 days ago,"Subscribe Here for new #shorts: https://www.youtube.com/channel/UC_k6... THANKS FOR WATCHING!! LIKE, COMMENT, AND SUBSCRIBE FOR MORE VIDS! --------------------------------------------------------..."
ELMO KILLED KISSY MISSY!,https://www.youtube.com/watch?v=42oWE-JWuZw,https://i.ytimg.com/vi/42oWE-JWuZw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFQJL4n37QcFuzkPuASBlqiW7wWA,11:35,The Frustrated Gamer,358K views,1 day ago,Elmo Killed Kissy Missy in the New Poppy Playtime Animation | The Frustrated Gamer is reacting to the new GameToons PLAYER vs. ELMO MOD animation. See what happens when Evil Elmo Poppy Playtime...
"THE SIMPSONS, BAD BUNNY - TE DESEO LO MEJOR (Official Video)",https://www.youtube.com/watch?v=m3xFuFPxOnw,https://i.ytimg.com/vi/m3xFuFPxOnw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3yhD865qFEVV6YG3SbxUS-vW_Tw,2:59,Bad Bunny,15M views,3 days ago,"THE SIMPSONS, BAD BUNNY -TE DESEO LO MEJOR Trilogy Box Set - https://www.badbunnytrilogy.com/ https://elultimotourdelmundo.com/ Merch: https://shop.elultimotourdelmundo.com/ Subscribe to..."
Gucci Mane - Long Live Dolph [Music Video],https://www.youtube.com/watch?v=aQXV92_1UwM,https://i.ytimg.com/vi/aQXV92_1UwM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpM70mvgks3hobSjoI-q1bG4tDUg,3:45,Gucci Mane,6.3M views,7 days ago,"Gucci Mane - Long Live Dolph ""So Icy Christmas"" 🥶 Out Now! Download/Stream: https://thenew1017.lnk.to/SoIcyChristmas Subscribe for more official content from Gucci Mane: https://Atlantic.lnk.t..."
so Snoop Dogg sent me this..,https://www.youtube.com/shorts/AoDtj4uZbR4,https://i.ytimg.com/vi/AoDtj4uZbR4/hq2.jpg,SHORTS,Davie504,7.6M views,3 days ago,#shorts
Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Teaser,https://www.youtube.com/watch?v=Rt_UqUm38BI,https://i.ytimg.com/vi/Rt_UqUm38BI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ3r0-A-ucE5wV8YKMFW9N9_8jGQ,2:12,Marvel Entertainment,23M views,6 days ago,"“The Multiverse is a concept about which we know frighteningly little."" Watch the official teaser for Marvel Studios' Doctor Strange in the Multiverse of Madness. Only in theaters May 6...."
"Jessica Darrow - Surface Pressure (From ""Encanto"")",https://www.youtube.com/watch?v=tQwVKr8rCYw,https://i.ytimg.com/vi/tQwVKr8rCYw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdspaugABOS5LYu26kk99SRh8SNg,3:31,DisneyMusicVEVO,6.1M views,4 days ago,"See Disney’s Encanto now streaming on Disney+ 🕯️✨🦋 Walt Disney Animation Studios’ “Encanto” tells the tale of an extraordinary family, the Madrigals, who live hidden in the..."
Nardwuar vs. J. Cole (2021),https://www.youtube.com/watch?v=GxVXEd_G_60,https://i.ytimg.com/vi/GxVXEd_G_60/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5jYEWslLlhZ_1si8ke9aWwJxbNA,58:22,NardwuarServiette,2M views,2 days ago,"Nardwuar interviews J. Cole on December 9, 2021 in Santa Monica, CA USA ! Doot doo ! https://www.twitch.tv/nardwuarserviette Nardwuar Twitter: http://www.twitter.com/nardwuar Nardwuar..."
I Almost Became An Amputee,https://www.youtube.com/watch?v=wG1Q1ouemVA,https://i.ytimg.com/vi/wG1Q1ouemVA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUoOmApgE41JyNUvuVOWRR_nSMzA,11:31,Technoblade,5.6M views,4 days ago,Technoblade Makes Cancer 1000% Funnier BUY MY MERCHANDISE: https://technoblade.com/ -------------------------------- become a CHANNEL MEMBER here: https://www.youtube.com/channel/UCFAiFyGs6oDiF1Nf-...
Lil Durk - Broadway Girls feat. Morgan Wallen - (Official Music Video),https://www.youtube.com/watch?v=2CNl_CCtE-I,https://i.ytimg.com/vi/2CNl_CCtE-I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcNQbUSNet76pDQXt9KK8hBXFMzQ,3:09,Lil Durk,4.5M views,7 days ago,"#LilDurk #MorganWallen #BroadwayGirls Lil Durk - Broadway Girls feat. Morgan Wallen Stream ""Broadway Girls"": https://smarturl.it/broadwaygirls Follow Lil Durk: https://instagram.com/lildurk..."
"Extreme $1,000,000 Hide And Seek",https://www.youtube.com/watch?v=00NgUctWoLQ,https://i.ytimg.com/vi/00NgUctWoLQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8yf2kcBKx68yUZdyNDy5a4Tk25w,12:09,MrBeast,38M views,9 days ago,I didn't expect that to happen at the end I was so confused haha ╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗ ║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ ╠╗║╚...
